review_id,review_text,gold_seat,gold_crew,gold_food,gold_ground_baggage,gold_delays,gold_value
1692,"We were able to fit everything into carry on luggage, which was helpful, especially outbound. On the return flight our bags were spot checked and found to be overweight so we had to get out of the line for passport control, check the bags, then get back into the passport line. This was frustrating, but since we had left a ridiculous amount of time to make the flight we didn't actually have a problem. In addition, the employees marshaling the passport lines were very heads-up and were moving people to fill gaps in the line. They also appeared responsive to pleas about flights departing soon, including those in English. We were of course pretty worried about whether our bags would vaporize on the way to JFK but fortunately everything showed up and was undamaged. All of this means we were very fortunate, since we were flying midsummer when all of the horror stories were happening and  we didn't have to deal with AF ground service, which in our experience has never been terrible but never better than OK, either.  The in flight experience was fine, although AF is one airline where it pays to fly Premium Economy. We flew regular Economy because of the size of our group, and the service was less. Cabin staff very pleasant as usual but not very visible apart from meal service. Much more attentive the further forward you go, which is not a very passenger-centric strategy. The aircraft wasn't new but had been refreshed. IFE worked and had lots of options. Outbound flight took off late but landed almost on time, return flight was on time. In Premium Economy or Business Class Air France an excellent airline, but in Economy it's a little disappointing. AF could learn a lot from Delta, which provides pretty good service throughout the cabin, or even from United, which is mediocre front to back. Most of my international travel is to France, and most of that is on Air France. This is unlikely to change. Still, I live in hope that Air France ups its game on the service front.",x,n,x,n,x,p
15716,"The Qantas aircraft on the shorter legs (only approximately 8 hours) between Brisbane and Singapore was an A330. We had no complaints about the seats or the service provided on this flight. It was a entirely different story on the longer (14 hours) legs between London and Singapore on their supposedly prestigious QF1 and QF2 route. The A380 seating was of the standard you might experience on short haul budget airlines. Uncomfortable, no legroom, flimsy construction with the reclining position difficult to control. With the seats in the fully reclined position, which was most of the time on these overnight flights, it was very difficult to get in and out of your seat. It would appear that Qantas have packed the maximum number of rows of seats into the A380 to generate maximum revenue with no thought to the comfort and well being of the passengers. I certainly will not be flying with Qantas again.",n,x,x,x,x,x
1599,"I booked 2 business class tickets for myself and my 2 year old daughter. A few weeks before my flight, I called Air France to check on the seating and meal arrangements for my daughter to ensure everything is confirmed. The 2nd time I called Air France was the day before my flight to make sure again if the seating and meals were confirmed. Both occasions, I was given the assurance that my daughter's child meal was confirmed and for seating, it is a priority she is in the appropriate seat next to me. During the flight, the attendant came to me and said the child meal was not booked when I did it 2 times. The 2nd issue is my seat was faulty.  I only realized when I was extending the seat, that it jammed and couldn't become a bed. I got off to check and saw my daughter's foot was stuck in this big gap as you see in the picture, by the metal piece stretching across the seat. This piece was visible and the cushion was falling off. I called the attendant and she quickly informed the chief steward who came and pulled the cushion away to seal it back to cover the metal piece.  Throughout the flight, the cushion kept sliding and I had to get off the seat to refit the cushion. Before landing, I couldn't fully recline the seat back to original position because of this big issue. The attendant had to put in a lot of strength to ensure the cushions fit correctly while reclining the seat. Finally it went back to original position but the belt was stuck and I couldn't pull it to secure myself for the landing. I had to sit on my daughter's seat with her on my lap for the landing. I filed a complaint to Air France, I wanted to cancel my return flight to book on another airline. This is what they responded. ""Thank you for your remarks concerning the special child meal you booked and your seat on your flight from Marseille to Singapore on July 10. Our staff reported that you were unhappy with your seat and inspected the seat. They found no defect or fault with the seat, for which reason I cannot issue any compensation in this case. There are no reports on our system indicating that the special child meal was not delivered. For this reason, I cannot respond favorably to your request. We look forward to serving your travel needs again in the near future and to welcoming you aboard another of our flights.""",n,n,n,x,x,x
3934,"Moment before the flight took off the tyre burst and the flight took a halt.  Even after the flight got cancelled, they did not arrange any accommodation or anything for the passengers and the passengers were asked to arrange their own. Extremely bad service.",x,p,x,x,n,n
16771,"It is important to note this airline would never return cash if you cancel the flight, after making a deduction, they would only give you a voucher and only in the name of the original passenger. I will certainly not use this airline again.",x,x,x,x,x,n
357,Amsterdam to Simferopol via Moscow. I would like to compliment and thank Aeroflot for their excellent services. Since I arrived with an international flight (SU2193 / SU2694) and continued my trip with a domestic one (SU1644 / SU1637) via Sheremetyevo Airport (and the new B terminal) I was quite worried about not receiving my luggage – which proved to be a needless worry. I also noticed stewards and stewardesses on the domestic planes had become more professional. The meals served were very welcome and tasty. (Aeroflot must be one of the few airline companies to date that still includes meals.),x,p,p,p,x,x
7654,"Worst first class experience ever! 1st problem was food. I've flown first class plenty of times and always have 3 choices for dinner. This flight attendant came by to get orders but stated they only have chicken Caesar salad, ugh. I do not eat that, coach had chicken Caesar salad, chicken salad sandwich and some sort of charcuterie option! Now granted they were going to pay extra for ordering any of those but I paid ahead by flying first class and had one nasty option. The flight attendant didn't like that I don't like Caesar salad and gave me attitude the rest of the flight. We also had no WiFi. Going into Hawaii every family needs agricultural forms to fill out, this flight didn't have enough forms and NO pens! They told us a million times the flight was full, so take your own advice and have enough stuff for everyone. They made everyone who did not have a form stay on the flight until they got more forms and filled them out. As a first class passenger with my bags tagged priority they are supposed to come out first, we'll they came out almost last! Flight home, no drinks while waiting for everyone to board, my husband had no blanket and pillow like everyone else in first class, he asked for it, they brought him two blankets because they were out of pillows. He ordered a special meal which they did NOT have!! The only option for dinner was a turkey sandwich and chips! These flight attendants do not call you by name, they could care less that I spent $2000 more per ticket than those sitting in coach and I might as well have been there! Nothing special at all about Delta first class! I will never fly them again, coach or first class",x,n,n,n,x,p
11562,"Goa to Mumbai. Flight was cancelled without any notice. Jet Airways flight status page was even still showing an ""ontime"" then ""arrived status. Heard of 3 other flights cancelled in same conditions that day. No refunds offered on spot, had to refer to our travel agents.",x,x,x,x,n,n
16084,"I wish to thank all the staff they were all very happy and helpful, I have flown with all of the Aussie airlines and Rex you top the cake for me.",x,p,x,x,x,x
17555,"A decent experience. Check in was fast and easy, lounge was comfortable with good food offerings. Boarding was slightly chaotic but not awful. The aircraft is wonderful with comfortable seating and leg room. IFE was good. Meal decent for a two hour flight. Had to ask for an amenity kit. Flight was basically on time. Not stellar but better than most. Wifi wasn’t working.",p,x,p,n,p,x
13078,"This was an unexpected surprise due to my family thinking that we were going to fly Ryanair, however in my opinion it was a pleasant surprise. I have a really bad fear of flying so an incredibly nice cabin crew member sat next to me and told me that she loved flying and how long she had done it for and how safe it was. She also said that she really enjoyed flying and the turbulence was enjoyable. The seats were nice and the crew was amazing. I didn’t get any food but I loved this low cost airline.",p,p,x,x,x,p
14500,"First time on Nok Air as normally take Airasia for domestic travel in Thailand. Check-in was nightmare, as they did not have my pre-reserved seat in the emergency exit and tried to charge me 300THB - despite the fact I already paid this. Boarding from a remote stand through buses unlike other airline using an airbridge. Aircraft was tired, an ex Ryanair Boeing 737. Seat was uncomfortable and not a patch on AirAsia. You do get a complimentary cup cake as a snack. I will be using AirAsia for future domestic travel in Thailand.",n,x,n,n,x,p
2134,This is the worst airline I have used they are the Ryanair of long haul. We were a party of 36 we pre-booked seats at a cost of £100 for the round trip. Food was poor. Seating was awful. Entertainment was shocking no latest films some of their offers were 15 years old. WiFI not working.,n,x,n,x,x,n
19605,"Thomas Cook are offering more and more long haul flights but in comparison to scheduled flights they are terrible. If you don't pay the 80 round trip extra to sit together as a couple you end up being split up. The headphones you pay for are extra and the films are old ones usual on Netflix. The meals James Martin should be ashamed to put his name too are dried up slop. The sandwiches are dried bread with very little filling. The price of drinks and snacks are outrageous. Pleasse if you are trying to go into long haul in a big way they need to include better meals, entertainment and perhaps a couple of free drinks. They are not really cheaper than most of the schedules and only choose them because they offer more direct flights from Manchester. Please try to up your game and stop charging for so many extras. The difference in price between Thomas Cook and British Airways to Barbados is negligible but the service is enormous. The only reason for choosing TC is that they fly from Manchester.",p,x,n,x,x,n
2748,"When I checked in they asked me if I had a ticket out of the US and I said yes and showed my ticket to Mexico. They said that is not valid as Mexico is part of the US. I said that no Mexico is not part of the US, they even called the supervisor who said the same thing. They made me buy a ticket back to my country which I didn't want at that time because I didn't know my return date yet. I bought this flight with Qantas but when I arrived it was Air Tahiti. I had to buy the ticket in 20 minutes otherwise they wouldn't let me board. It is embarrassing that they don't know the difference between the two countries and argue with customers like this. If this is their policy at least it should be on their website.",x,x,x,n,x,x
2420,"On 8th November I travelled Sydney to Auckland, Flight NZ102 having paid more for The Works meaning I would receive a meal. It was appalling. Please bear in mind that this class of ticket is considerably more than just Economy. There were three choices, all rather pathetic and chose what I considered to be the best of the three. Salmon with pasta and courgette. Sounds fine but what was served was a small hand palm size portion of pasta with a few peas and sweet corn scattered through the minuscule amount of sauce. It was dry and unpalatable. On this all economy flight the toilet at the front of the cabin next to the flight deck is extremely small and the seat only just reclined slightly. My return flight on NZ 107 22nd November, Auckland to Sydney was quite delayed. Not the airline's fault but no food or beverage voucher offered. This time I was also The Works. Thought it could not possibly be as bad as the previous flight. I was wrong. This time decided to choose meat pie. Atrocious soggy pie complete with gristle in a paper wrapping and impossible to eat with the wooden cutlery as it was not served in a container. I read the packet and was shocked to see that they are pre frozen. Thank goodness for the Kapiti ice cream! What has happened to Air New Zealand that they are cutting corners so much across the Tasman. I have been doing this journey for many years and it used to be a pleasure and something to look forward to. Why oh why is the airline jeopardising its good name?",n,x,n,x,n,n
2704,"Flew Air Seychelles from Seychelles to Praslin Island. Friendly staff, but a tiny plane (as it was a 10 minute inter-island flight), so small that I couldn't stand up, but it was clean and new. The flight was smooth, and non-eventful. The seats weren't comfortable, and there were arranged in a two-one layout. The plane's livery needs a mention - it was one of the best I've seen.",n,p,x,x,x,x
22148,"Paris to San Francisco. Read the reviews after purchasing my ticket and was quite worried. I’ve flown to Europe multiple times on multiple airlines and this flight was just the same as all the other airlines. Economy seats are the same size as United/Delta. Our flight was several hundred dollars cheaper per person than any other alternative. Yes, boarding is a bit chaotic and unorganized (but that was not that big of a deal to me). Yes, there are no screens on the seats, however, they offer free WiFi with access to their entertainment (on your own device) that includes movies, tv shows, games, and music. They do not have charging in seat so bring your own portable charger if necessary. Food was delicious and they had good options for purchase throughout the flight. Flight attendants were very friendly and provided great service. We sat in the back of the plane with 2 seats together and that was great because the aisles were a bit roomier back there.",p,p,p,n,x,p
14354,"Flew Nepal Airlines from Delhi to Kathmandu on 16 May - 10.30am departure to allow for a full afternoon in Kathmandu. Friendly check-in agent gave my friend and I a full row to ourselves. Typical long lines at Delhi immigration but was able to use the lounge as my friend is an Amex Centurion member. Food and drink were available but nothing special. Flight boarded on-time to one of their newer A320's, friendly welcome from flight attendants and I liked the aircraft interior - the bulkhead had pictures of Mt Everest on it. Business class seats looked nice but that section was empty. Coach was pretty full but a few open rows in the front. Coach flight attendants were friendly and served drinks and a good meal once in flight for the 1 hour 15 minutes in the air. The toilets were busy so some people went to business class toilet and were literally chased out by the business class flight attendant. She was horrible - she was just sitting up there doing nothing - not even helping the coach attendants do their drink runs. It was nothing to let people use that front toilet. Landed on time with some nice views of the area as the cloud layer broke as we decended. Bags came off quickly and thru immigration. Overall a good flight.",p,p,p,p,p,x
16178,"The check in counter is slow in Dubai. The flight was also delayed. The food portions are really good although you might find the bread hard. The cabin crew didn't answer call bells, they would =turn it off cleverly while passing by.",x,n,p,n,n,x
9966,"Gatwick to Tbilisi return. First flights on Georgian Airways. Very impressed. Check in at Gatwick and Tbilisi was polite and efficient. Take off from Gatwick on time. Staff efficient but a little austere (probably language barrier). Food was good. Seat was generous with good legroom - especially on way back. Return flight delayed 1 hour but we were informed of this immediately on check in. Staff on the flight back were very good. Good food and drink. It is true there is no inflight entertainment but who really misses this on a 5 hour flight. Read a book! On the return I spent most of the time looking out of the window or dozing. At the height we were at you could see the cities of Romania, Bulgaria, Germany and so on lit up. Very entertaining . Plus clouds illuminated by lightning. I have not seen this from above before.",p,p,p,p,x,x
1084,"When I tried to check in for my flight online, I found Air Canada completely changed the details of my flight, and didn't notify me. The new flight that was forced on me was so bad, that there was no way I could just accept it. After a long wait on the line, the airline representative (who didn't even offer an apology, let alone a compensation), said the only thing he could do was to rebook the flight to a later date, or give me a refund. When I asked to speak to a supervisor, he said there were no supervisors.  I had no choice but to rebook the flight, with all the inconveniences attached to it. Then the rude representative just hung up on me mid-call, so I had to call back and wait forever again just to verify that the details of the new flight were indeed finalized.  Terrible customer service, unreliable airline company.",x,n,x,n,x,x
18005,"Southwest has had major delays on my past four flights over three years. Something always goes wrong. We missed our flight, but their delay on the previous flight, by twenty minutes and Southwest couldn’t provide another flight for us home until 1:00 am the next day. We had to get a hotel and rent a car to drive home out of our own pockets. I hate this airline. Unless you are doing a straight through flight don’t even bother. Everyone I talk to has the same experience with them as well. If they would increase their layover times it would fix some of these issues.",x,x,x,x,n,n
11513,"Our outbound flight was delayed which caused us to miss our connecting flight to Toronto with another airline. The delay was due to a late inbound flight. This created a small issue in Montreal, but the other airline was able to get us on a later flight. The flight itself was uneventful. Service on board was good, flight attendants were fantastic and friendly.",x,p,x,x,n,x
16829,"Toronto to Lisbon. My experience was a rather good one. Flights were on time, the food was decent, there was enough leg room for my 5'11 self. The only issue I had was trying to get in touch with customer support (which I never managed to do via phone) but they were able to fix my issue at the gate so all was well. I would recommend SATA Azores  to any travelers on a budget.",p,x,p,n,p,p
12325,"Checked in online the evening before the flight. Aircraft depicted was a 737-800. I selected and paid for an exit row seat. A couple of hours later, I received a text message saying that the flight was going to be delayed from 0745 to 1120 for the usual ‘operational reasons’. On arrival at the airport the next morning for the delayed departure, I was issued with a boarding pass that still showed my original seat number of 19A. As it turned out, the airline had changed the aircraft to an Embraer 190 (which I discovered when we were boarding), so while I had the same seat number from the original 737, it was not in an exit row on the E190. No apology, no information at check in. Boarding was chaotic as usual. They called for Business Class and Priority passengers to board first (I have Siver Elite status), only for everybody to end up on a bus that waited until it was full before proceeding to the airplane. So much for priority boarding. Even with the delayed departure time, the flight was delayed even further, departing at 1220. KQ is a disgrace. Unfortunately, they are currently the only airline serving the Nairobi-Johannesburg route and are milking this for all it’s worth with shoddy service. Pride of Africa? Not by a long shot!",n,p,x,x,n,n
17671,"We got this flight for a good price because we wanted to land in London in the day and most direct flights landed late at night. Our departing schedule time was changed, but the flight was booked eight months earlier so changes weren’t altogether surprising and we were emailed about them in advance. The flight to Athens was on time and the flight to Heathrow was also on time and landed early. Athens airport was fine for passing the time. The baggage arrangements for this airline are a little unusual with maximum weight of 15kg for checked bag, but with the “Sky Joy” fare various bits broken down by other airlines are included like carry on bags. No fussiness encountered about dimensions or weight on our journey. We made seat reservations at the time of booking and all were honoured, with option to change at check in online. Check in online was time consuming but got there in the end. All bags made the journey via Athens as did the baby buggy which we were able to use for the transfer at Athens. On board service included free coffee/juice and tiny biscuits with other fairly predictable stuff to buy. The seating featured headrests and decent legroom, making the experience more pleasant than Easyjet. All the staff we met were courteous. I have no complaints and am quite satisfied. I’d use this airline again without hesitation.",p,x,p,p,p,p
14982,"Bristol-Dalaman return. BRS check in fine very fast got the seats we wanted. Comfortable seats enough legroom I'm 6'2"" and could stretch my legs out. Snacks and drinks are a bit expensive but around the same as Easyjet and Ryanair. Attentive cabin crew several runs of the snack trolley. Arrived in Dalaman early. Return trip pretty much a copy of the outbound. Arrived back at BRS 30 mins early. Would use them again.",p,p,x,p,p,x
8679,"Masks still have to be worn on board, that it getting a bit old. Felt that staff did absolute minimum only, much much interaction with guests. Needed assistance with luggage when boarding (accident), a flight attendant assisted, but I was on my own after landing, nobody cared. No free WiFi in business class Food was fine, good wheelchair service after landing in Abu Dhabi.",x,n,p,n,x,x
14614,"We booked way back but guessed it would be cancelled due to covid. 4th July recieved notification of cancelled flight 5th July, completed the on line form for a full refund, 7th July full refund received. I can only guess that those complaining tried to obtain the refund by phone.  If they survive, I will have no hesitation in booking for Miami next year. Other airlines need to see how Norwegian deal with things and follow.",x,x,x,x,x,x
22171,"Paris to New York JFK. The aircraft seemed to be a really old plane, and the TV's were broken (this plane did not feature individual screens on the back of the seats). But the flight itself wasn't the worst flight I've ever been on. The service was ok, and the food was edible. It is, after all, a budget flight. I would also like to mention that the captain did a great job piloting the plane. My issue with XL Airways is their customer service. We had checked in an oversized luggage at CDG, paid the fees, and followed the standard procedures of checking in. When we arrived at JFK, our oversized luggage was nowhere to be found. The staff at the terminal 4 oversized baggage claim counter told us that we just need to wait. We waited for 2 hours before someone finally told us that most likely it didn't make it onto our flight. We filed a claim, and they provided us with a phone number to contact to track our lost luggage. The number is completely bogus. We tried calling during business hours (8AM - 10PM weekdays) after ringing for about 3 minutes, it goes to voicemail, which is conveniently full. We try reaching XL Airways through several means, and finally we manage to speak to a representative. The representative tells us that we need to send an email with a detailed list of the items in the lost luggage. We do so, and wait for a reply. After doing a bit of research, I find a review dated 2013 about a lost luggage through XL Airways from CDG to JFK. The reviewer finally managed to track down their suitcase by going directly to JFK. So we decide to do the same and drove back to the airport to Terminal 4. After speaking to TSA, they tell us to speak to an XL Airways representative at their ticketing counter in departures. We make our way there only to be told that we need to go back downstairs to lost and found. Finally someone from Swissport baggage transport helps us track down our lost luggage, and we finally receive it. Nobody from XL Airways would provide us with any type of information regarding our lost luggage. They have a compensation policy of 20 euros per kilo for lost luggages, which wouldn't have even covered the cost of the suitcase itself. They have zero respect for their customer's belongings, which is completely unacceptable. Furthermore, no one from XL Airways was willing to help us in the least. They kept sending us to dead ends, and it wasn't until we showed up at the airport the following day that we received any answers (none of which came from XL Airways). This review should serve as a warning to anyone looking to fly with XL Airways. They have a 5kg weight limit for carry on luggage, and a 20kg weight limit for checked in luggage. First checked in luggage is free, after that it's 100 euros per bag. They also don't respect your belongings. To them, you aren't a customer that deserves respect, you are just a sold seat. I will never fly with them again, and their aircrafts need to be updated desperately. They should have been out of circulation years ago. I would not recommend this airline. Fly with Air France, they actually treat you like a human being.",x,p,p,n,x,x
2054,"Heathrow to Malta. We were a party of 4 adults and one child. Staff were miserable. Hot food had to be ordered, but no one asked if we wanted anything. When we asked for a toastie it was like being told off for not ordering it. Drinks and food were served with a pay machine shoved in your face. The staff didnt even stop their conversation whilst serving us. When leaving the aeroplane, as always we said thankyou and again they couldnt acknowledge us or stop their conversation. One of our suitcases was ripped, got in a queue behind 5 others who had damaged cases. Our case was beyond repair and needed a new one to fly home with. 1 day of our 10 day holiday was spent getting a taxi to the nearest town, finding a shop that sold cases then taxi back to the hotel.",x,n,n,n,x,x
16290,London to Melbourne via Brunei. Flight was good and crew were great. But upon trying to check in online I had noticed that my 4 year old daughter and 15 year old son were allocated seats away from me. When I tried to change seats nothing happened. Tried to contact my travel agent and she said that the airline was closed over the weekend. What sort of supposed international airline isn’t contactable 24/7? So now I had to wait till the last minute to sort this out. I thought that it was a duty of care that minors were seated with their parents? If you want customer service don’t fly Royal Brunei.,n,p,x,n,x,x
4788,They almost charged me $85 dollars because I couldn’t fit my book in my bag which I was carrying in my hand. Absolutely ridiculous. Terrible customer service they really don’t care and just want you to pay them. Mean people and treat you poorly.,x,n,x,n,x,n
4279,"I bought this flight under Turkish Airlines name and I was totally disappointed when I saw the Anadolujet sign at the check-in desk. First of all, a delay without any updates: I had to check FR24 for updates. The seat was the worst part of the flight! I had a back pain right after the flight. Catering was awful. Lots and lots of unnecessary announcements made the flight even worse! They were not letting the passengers sleep at 5am due to their long and annoying announcements. Not recommended at all.",n,n,n,p,n,x
21240,"Viva Ar has recently cancelled my Lima-Cusco-Lima flights and issued me a voucher minus an administrative fee for the cancellation that they initiated! The voucher has a 180 day validity. They blame the Peruvian government's attempts to control the Covid-19 pandemic and completely ignored the following arguments: First, for Viva Air to charge an administrative fee for a cancellation that they have initiated is simply outrageous and in violation of standard airline practices. In fact, if an airline cancels flight because of bad weather or a disaster due to a tornado, for example, the standard and decent practice is to give customers a full refund for the moneys paid. The Covid-19 pandemic is actually worse than any weather disaster and a full refund is legitimately due. Second, for Viva Air to arbitrarily impose a 180 day limit on the use of the voucher under the uncertainties of the current pandemic conditions is not acceptable either. As the Peruvian experience of the last 5-6 months indicates, it s completely unpredictable when it would be possible for tourists to safely travel without risking their lives or well being. Specifically, there is no certainty about any of the following: (1) Whether some airports will be open or closed and when, and what other means of transportation will be available to tourists. In fact, air, train, and bus transportation has been prohibited for weeks, on and off, in most regions, provinces, and cities in Peru. (2) What travel restrictions will be imposed and what points of interests and attractions will be open or closed to the tourists. (3) What regions, provinces, or cities will be quarantined, when, and for how long. Not knowing this, tourists may be trapped in a quarantined place for weeks. (4) Peru is actually one of the countries with more severe problems due to the Covid-19 pandemic in South America. Thus, weekly repatriation flights for U.S. citizens and legal residents have been implemented since the pandemic started according to the U.S. Embassy in Lima and the State Department STEP (Smart Traveler Enrollment Program). This alone indicates that everything related to the Covid-19 pandemic is very unstable in Peru and it is impossible to plan any travel for an undetermined period of time. (5) How long the mandatory stay-at-home order for people 65 years old or older will last, or when it will be reinstated if lifted. This is something that may affect different regions, provinces, or cities at different times, imposing a severe displacement or travel restriction on any senior traveller or tourist. In fact, I am currently a 77 years old U.S. citizen and simply cannot travel under these circumstances. In brief, Viva Air owners and administrators are using the Peruvian government attempts to control the Covid-19 pandemic as an excuse to keep their customers’ money. This is one of the most disgusting, unfair, and unethical airline practices that could ever be implemented.",x,x,x,x,n,n
6518,They canceled my flight due to Covid-19 and now refuse to give a refund. Besides advertising it on there own website. They only gave me a travel fund which i can use in the next 180 days. Customer Service is not helpful at all and extremely hard to reach. It took me almost 3 weeks and 10 Mail until i got an answer.  I will never book with them again.,x,x,x,x,n,n
457,I was very disappointed with Aerolineas Argentinas. The seats are very uncomfortable they do not have enough space between them vertically. My husband is 6 feet tall and his legs were touching the front seat he had no space to move them. I am 5'5 and was also uncomfortable. It was a long flight almost 9 hours and the TV screens did not function properly. Mine had no image whatsoever. My husband's screen had image but no sound. No entertainment at all for almost 9 hours is ridiculous. We had to take a second flight from Buenos Aires to Bahia Blanca and the flight was delayed 2 hours. On our return from Buenos Aires to Miami the flight was also delayed this time for 1 hour. Even tough the prices of Aerolineas Argentinas are lower I would never use it again or recommended to anybody. I have taken the same flight route with American Airlines and LAN and they are much better. Next time I rather pay more for the tickets and have a more pleasant and comfortable flight.,n,x,x,x,n,n
